Lista MM-finaaleista

;fid|vuosi|;sid         |;oid      |;oid     |lopputulos|katsojaluku
	
1   |1930 |19           |6         |4        |4-2       |80000	
2   |1934 |18           |3         |10       |2-1       |50000
3   |1938 |17           |3         |11       |4-2       |45000
4   |1942 |-------      |--------  |---------|--------  |-----
5   |1946 |-------      |--------  |---------|--------  |-----
6   |1950 |2            |6         |1        |2-1       |199854
7   |1954 |16           |2         |11       |3-2       |60000
8   |1958 |15           |1         |12       |5-2       |51800
9   |1962 |14           |1         |10       |3-1       |69000
10  |1966 |13           |7         |2        |4-2       |96424
11  |1970 |9            |1         |3        |4-1       |107412
12  |1974 |12           |2         |9        |2-1       |75200
13  |1978 |11           |4         |9        |3-1       |71483
14  |1982 |10           |3         |2        |3-1       |90000
15  |1986 |9            |4         |2        |3-2       |114600
16  |1990 |8            |2         |4        |1-0       |73603
17  |1994 |7            |1         |3        |1-0       |94194
18  |1998 |6            |5         |1        |3-0       |80000        
19  |2002 |5            |1         |2        |2-0       |69029
20  |2006 |4            |3         |5        |2-1       |69000
21  |2010 |3            |8         |9        |1-0       |84490
22  |2014 |2            |2         |4        |1-0       |74738        
23  |2018 |1            |5         |13       |4-2       |78011
