1   |Venäjä        |Luzhniki Stadium	
2   |Brasilia      |Maracana	      
3   |Etelä-Afrikka |Soccer City	
4   |Saksa         |Olympiastadion	
5   |Japani        |Yokohama International Stadium
6   |Ranska        |Stade de France	 
7   |USA	       |Rose Bowl	
8   |Italia        |Stadio Olimpico	
9   |Meksiko       |Estadio Azteca	
10  |Espanja       |Estadio Santiago Bernabeu	
11  |Argentiina    |El Monumental	
12  |Saksa	       |Olympiastadion Munich
13  |Englanti      |Wembley Stadium	
14  |Chile	       |Estadio Nacional de Chile	
15  |Ruotsi        |Rasunda Fotbollstadion	
16  |Sveitsi       |Wankdorfstadion	
17  |Ranska	       |Stade Olympique de Colombes
18  |Italia	       |Stadio Nazionale	
19  |Uruguay	   |Estadio Centenario	
